id,spec,text,DSI
1,temp0_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote a stamp on the corner of the envelope, making sure it was straight and even. Inside, I had placed a heartfelt letter to my pen pal, detailing all the exciting things that had happened to me over the summer. I had been waiting for what felt like forever to send this letter, and finally, the day had arrived. With a sense of excitement and nervousness, I walked to the mailbox and dropped the envelope inside, watching as it fell into the darkness. As I waited for a response, I couldn't help but wonder what my pen pal's reaction would be when they received my letter. Days turned into weeks, and eventually, I heard the sound of the mailman approaching, bringing with him a new letter to send back to my friend. With a smile on my face, I rushed to the mailbox and retrieved the envelope, eager to read the response and continue our long-distance conversation. As I sat back down at my desk, I began to write another letter, ready to send it off and keep the exchange going.",0.814912911
2,temp0_petrol-diesel-pump_1long,"As I drove into the old gas station, I noticed the rusty sign creaking in the wind, reading ""Petrol and Diesel Fuel"". I pulled up to the pump, hoping to fill up my tank before embarking on the long road trip ahead. The attendant, a gruff but kind man, greeted me with a nod and began to fuel up my vehicle with diesel. As we chatted, I mentioned that I had always been curious about the difference between petrol and diesel engines, and he launched into a detailed explanation. He told me that diesel engines were more efficient, but petrol engines were often quieter and smoother. After filling up, I thanked him and continued on my journey, feeling more informed about the intricacies of fuel types. As I drove away, I caught a glimpse of the pump in my rearview mirror, its metal exterior glinting in the sunlight. The sound of the engine purring along, running smoothly on its new diesel fuel, was music to my ears.",0.817923424
3,temp0_year-week-embark_1long,"As I stood on the edge of the vast ocean, I couldn't help but feel a sense of excitement and nervousness as I prepared to embark on my solo sailing journey. It had taken me a year of planning and preparation to get to this point, and I was finally ready to set sail. The forecast predicted calm seas for the first week, which would give me a chance to settle into my routine and find my rhythm. As I cast off and began to make my way out of the harbor, I felt a sense of freedom that I had never experienced before. The wind in my hair and the sun on my face, I felt alive and ready for whatever lay ahead. Over the next week, I would face challenges and obstacles, but for now, I was content to simply enjoy the journey. As I sailed further and further from land, I knew that this was just the beginning of an incredible adventure, one that would stay with me for a lifetime. With each passing day, I felt myself growing stronger and more confident, ready to embark on whatever challenges the future might hold.",0.801424009
4,temp0_statement-stealth-detect_1long,"As I walked into the abandoned warehouse, I stumbled upon a mysterious statement scrawled on the wall: ""They're watching you."" Suddenly, I felt a chill run down my spine and I knew I had to be careful. I decided to use stealth to sneak around the dimly lit rooms, trying not to make a sound. But as I turned a corner, I heard a faint noise behind me and I knew I had to detect the source of the sound quickly. I spun around, my heart racing, and that's when I saw it: a small camera hidden in the shadows. It was clear that someone had been using this warehouse for surveillance, and I had unknowingly stumbled into their operation. With my detective skills on high alert, I began to search the area to uncover more clues and get to the bottom of the mysterious statement. As I searched, I realized that I had to be even more careful, using my stealth to evade detection and stay one step ahead of whoever was watching me.",0.803833485
5,temp0_belief-faith-sing_1long,"As I stood on the mountain peak, I felt a strong sense of belief that I was exactly where I was meant to be. The breathtaking view before me only strengthened my faith in the universe and its plan for me. I closed my eyes, took a deep breath, and began to sing a soft melody that seemed to match the rhythm of the wind. The sound of my voice echoed through the valleys below, and I felt a sense of peace wash over me. As I sang, I felt my faith growing stronger, and my belief in myself and the world around me became unshakeable. The music seemed to connect me to something deeper and more meaningful, and I felt a sense of oneness with nature. In that moment, everything felt right with the world, and I knew that no matter what challenges lay ahead, my faith and belief would carry me through. As I finished my song, the wind died down, and an eerie silence fell over the mountain, as if the universe was holding its breath in appreciation of the beauty I had just created.",0.801168199
6,temp0_organ-empire-comply_1long,"In the heart of the ancient empire, a mysterious organ played a haunting melody that echoed through the streets. The people of the land were drawn to the sound, as if compelled to comply with some unseen force. As they gathered around the instrument, they felt an otherworldly energy emanating from it, as if the organ was alive and exerting control over their minds. The ruler of the empire, a just and fair leader, sought to understand the source of the organ's power and its intentions. She discovered that the organ was created by a long-forgotten civilization, one that had possessed knowledge and wisdom beyond her own people's understanding. As she listened to the organ's melody, she felt a deep sense of connection to the land and its history, and she knew that she must comply with the instrument's will in order to maintain balance and harmony within the empire. With each passing day, the people of the empire grew more attuned to the organ's rhythm, and soon they were working together in perfect synchrony, their actions guided by the haunting melody that filled the air. As the empire flourished under the organ's influence, the ruler realized that sometimes the most powerful forces are those that lie just beyond human comprehension.",0.814081735
7,temp0_gloom-payment-exist_1long,"As I walked through the abandoned city, a sense of gloom settled over me, casting a dark shadow on everything around me. The once-thriving streets were now empty and still, a haunting reminder of what had been lost. I had come to make a payment to the mysterious figure who claimed to hold the key to restoring the city to its former glory. But as I approached the designated meeting spot, I began to wonder if this person truly existed or was just a myth. Suddenly, a figure emerged from the shadows, and I felt a surge of hope that maybe, just maybe, they could help me find a way to revive this dying place. The figure accepted my payment and handed me a small, intricately carved box, whispering that the answer to the city's survival lay within. As I opened the box, a warm light spilled out, and I knew that there was still a chance for this city to exist once more. With renewed determination, I set out to uncover the secrets of the box and bring life back to this desolate landscape.",0.808739296
8,temp2_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote out a stamp of approval on the document in front of me. It was a crucial step in the process, one that would determine the fate of the project. Next, I began to draft a letter to my colleague, explaining the details of the proposal and why it was so important. The words flowed effortlessly onto the page as I poured my heart into the message. Once I was satisfied with the content, I folded the paper and placed it in an envelope, ready to send it off to its recipient. With a sense of excitement and anticipation, I affixed a stamp to the corner of the envelope and dropped it into the mailbox. As I watched it disappear from sight, I couldn't help but feel a sense of pride and accomplishment, knowing that my letter was on its way to make a real difference. The wait for a response had begun, and I could only hope that my words would have the desired impact when they were finally read.",0.80488032
9,temp2_petrol-diesel-pump_1long,"As I drove through the desert, my car's engine began to sputter, warning me that it was time to refuel. I spotted a small station in the distance and pulled in, relieved to see that they had both petrol and diesel available. The attendant, a gruff but kind man, asked me what type of fuel I needed and I replied that my car ran on petrol. He nodded and began to operate the pump, filling my tank with the cool, clear liquid. As we waited for the tank to fill, we chatted about the challenges of driving through such a remote area, where diesel trucks often dominated the roads. Once the pump had finished, I paid the attendant and continued on my journey, feeling grateful for the brief respite from the desert sun. With a full tank of petrol, I was ready to tackle the long stretch of highway ahead, passing by the rumbling diesel engines that seemed to be everywhere. As I drove away, I caught a glimpse of the station's sign, which read ""Last stop for 50 miles"" - a sobering reminder of the vast expanse of wilderness that lay before me.",0.816378779
10,temp2_year-week-embark_1long,"As I stood on the edge of the vast ocean, I couldn't help but feel a sense of excitement and nervousness as I prepared to embark on my solo sailing journey. It had taken me a year of planning and preparation to get to this point, and I was finally ready to set sail. The forecast predicted calm seas for the first week, which would give me a chance to settle into my routine and find my rhythm. As I cast off and began to make my way out of the harbor, I felt a sense of freedom that I had never experienced before. The wind in my hair and the sun on my face, I felt alive and ready for whatever lay ahead. Over the next week, I would face challenges and obstacles, but for now, I was content to simply enjoy the journey. As I sailed further and further from land, I knew that this was just the beginning of an incredible adventure, one that would stay with me for a lifetime. With each passing day, I felt myself becoming more confident and self-assured, ready to take on whatever the future held as I continued to embark on this journey of self-discovery.",0.804915633
11,temp2_statement-stealth-detect_1long,"As I walked into the abandoned warehouse, I stumbled upon a mysterious statement scrawled on the wall: ""They're watching you."" Suddenly, I felt a chill run down my spine and I knew I had to be careful. I decided to use stealth to sneak around the dimly lit rooms, trying not to make a sound. But as I turned a corner, I heard a faint noise behind me and I knew I had to detect the source of the sound quickly. I spun around, my heart racing, and that's when I saw it: a small camera hidden in the shadows. It was clear that someone had been using this warehouse for surveillance, and I had unknowingly stumbled into their operation. I knew I had to get out of there fast, before they detected me and I became their next target. With my heart still pounding, I made a run for the door, determined to uncover the truth behind the ominous statement.",0.803559432
12,temp2_belief-faith-sing_1long,"As I stood on the mountain peak, I felt a strong sense of belief that I was exactly where I was meant to be. The breathtaking view before me only strengthened my faith in the universe and its plan for me. I closed my eyes, took a deep breath, and let the wind carry my voice as I began to sing a gentle melody. The sound echoed through the valleys below, a hauntingly beautiful expression of my innermost thoughts and emotions. As I sang, I felt my spirit soar, unencumbered by doubt or fear, and my faith in myself grew stronger with each passing moment. The music seemed to take on a life of its own, weaving a spell of peace and tranquility over the landscape. In this instant, my belief in the power of music to transform and uplift was reaffirmed, and I knew that I would carry this sense of faith and wonder with me always. As the last notes faded away, I opened my eyes to find that the sun had begun to set, casting a warm golden light over the world, and I felt grateful for the experience.",0.804800339
13,temp2_organ-empire-comply_1long,"In the heart of the ancient empire, a mysterious organ stood tall, its pipes reaching towards the sky like skeletal fingers. The people of the land believed it held mystical powers, and only those who could play its haunting melodies could bring prosperity to the kingdom. But as the years passed, the empire began to crumble, and the once-majestic organ fell into disrepair. A young apprentice named Eli discovered the forgotten instrument and, with a sense of wonder, began to learn its secrets. As he practiced, the organ's music seemed to awaken the empire's dormant magic, and soon the land was flourishing once more. However, not everyone was pleased with Eli's newfound abilities, and the ruling council demanded that he comply with their strict regulations, threatening to silence the organ forever. Eli refused, knowing that the music was too powerful to be controlled, and he continued to play, his melodies inspiring a revolution that would change the empire's fate. With every note, the people found the courage to resist, and soon the empire was reborn, its spirit renewed by the haunting sounds of the ancient organ.",0.81750943
14,temp2_gloom-payment-exist_1long,"As I walked through the abandoned city, a sense of gloom settled over me, weighing heavily on my shoulders. The once-thriving streets were now empty and still, a haunting reminder of what had been lost. I had received a mysterious payment in the mail that morning, with no indication of who had sent it or why. The note attached to the check simply read: ""For services rendered."" I couldn't shake the feeling that my presence here was not a coincidence, that I was meant to exist in this desolate place for a reason. As I turned a corner, I stumbled upon a small, hidden garden, filled with vibrant flowers and lush greenery, a stark contrast to the gloom that surrounded it. In this unexpected oasis, I began to unravel the mystery of the payment and my purpose here, and slowly, the truth started to exist in my mind like a puzzle finally coming together. As the sun set over the ruined city, I felt a sense of hope emerge, illuminating the darkness and guiding me forward.",0.81433355
15,temp4_stamp-letter-send_1long,"As I sat at my desk, I carefully wrote out a letter to my pen pal who lived on the other side of the world. I made sure to include all the exciting details about my summer vacation and the new hobbies I had taken up. Once I finished writing, I placed the letter in an envelope and affixed a colorful stamp to the top right corner. The stamp featured a beautiful image of a sunset over the ocean, which reminded me of the beach where I spent most of my summer. With the envelope sealed and addressed, I was ready to send it off to my friend. I walked to the mailbox and dropped the letter inside, feeling excited to hear back from my pen pal soon. As I waited for a response, I couldn't help but think about all the amazing stories my friend would share with me in her return letter. With a sense of anticipation, I looked forward to receiving her reply and continuing our long-distance conversation.",0.809932641
16,temp4_petrol-diesel-pump_1long,"As I drove down the deserted highway, my old truck's engine began to sputter, warning me that it was time to refuel. I spotted a small station in the distance and pulled in, relieved to see that they had both petrol and diesel available. I opted for the diesel, hoping it would give me the extra mileage I needed to reach my destination. As I filled up, I noticed an old-fashioned hand-cranked pump standing beside the modern electronic one, a relic of a bygone era. The attendant, a gruff but kind man, told me that the old pump still worked, and he occasionally used it to fuel up his own vintage tractor. I watched in fascination as he demonstrated its use, the rhythmic creaking of the handle a soothing sound. With my tank full and a new appreciation for the past, I climbed back into my truck and continued on my journey, the hum of the engine a comforting accompaniment. As I drove away, I caught a glimpse of the old pump standing sentinel, a reminder of the simple pleasures in life.",0.81902342
17,temp4_year-week-embark_1long,"As I stood on the edge of the grand canyon, I couldn't help but think about the incredible journey that had brought me here. It had been a year of planning and preparation, but finally, I was ready to embark on the adventure of a lifetime. My friends and I had decided to hike the entire length of the canyon, a feat that would take us at least a week to complete. We set off early in the morning, our backpacks loaded with supplies and our spirits high. The first few days were grueling, but as we settled into a rhythm, the scenery became more breathtaking and our camaraderie grew stronger. By the end of the week, we had formed bonds that would last a lifetime, and as we gazed out at the stunning vista, we knew that this was just the beginning of our travels together. With our senses renewed and our hearts full, we were ready to embark on the next stage of our journey, wherever it may lead. As we walked away from the canyon, I smiled, knowing that this was a year that would stay with me forever.",0.803792177
18,temp4_statement-stealth-detect_1long,"As I walked into the abandoned warehouse, I stumbled upon a mysterious statement etched into the wall: ""The truth is hidden in plain sight."" Suddenly, I heard a faint noise behind me and turned to see a figure emerging from the shadows with incredible stealth. The dim lighting made it difficult to discern any features, but I could sense their eyes fixed on me. My heart racing, I tried to detect any other signs of movement, but the silence was deafening. The figure began to move closer, its presence seeming to fill the entire room. I held my breath, waiting for them to make their next move, but they simply vanished into thin air, leaving me with more questions than answers. As I stood there, frozen in confusion, I couldn't shake the feeling that the statement on the wall was more than just a random phrase - it was a warning. The experience left me shaken, and I knew I had to uncover the truth behind the mysterious encounter.",0.812691392
19,temp4_belief-faith-sing_1long,"As I stood on the mountain peak, I felt a strong sense of belief that I was exactly where I was meant to be. The breathtaking view before me only strengthened my faith in the universe and its plan for my life. I closed my eyes, took a deep breath, and began to sing a soft melody that seemed to match the rhythm of the wind. The sound of my voice echoed through the valley below, and I felt a sense of peace wash over me. As I sang, I felt my faith growing stronger, and my belief in myself and the world around me became unshakeable. The music seemed to connect me to something deeper and more meaningful, and I felt a sense of oneness with nature. In that moment, everything felt right with the world, and I knew that no matter what challenges lay ahead, my faith and belief would carry me through. As I finished my song, the sun dipped below the horizon, casting a warm glow over the landscape, and I felt grateful for the experience.",0.797206215
